ANO,MES,PAIS,PROVINCIA,PLANTA,CANT. MUESTRA,INDICE_POTABILIDAD_(%),CLORO_RESIDUAL_(Mg/l)
2021,OCTUBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,1,"100,00","0,80"
2021,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,43,"100,00","1,00"
2021,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,43,"99,10","1,10"
2021,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,43,"99,10","1,30"
2021,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,1,"100,00","1,60"
2021,NOVIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,1,"100,00","0,70"
2021,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,35,"100,00","1,00"
2021,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,30,"93,50","1,10"
2021,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,33,"100,00","1,40"
2021,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,1,"100,00","1,40"
2021,DICIEMBRE,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,1,"100,00","1,20"
2022,ENERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,32,"100,00","1,00"
2022,ENERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,30,"100,00","1,10"
2022,ENERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,32,"97,50","1,40"
2022,ENERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,4,"100,00","1,40"
2022,ENERO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,4,"100,00","0,80"
2022,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,32,"100,00","0,90"
2022,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,31,"100,00","1,20"
2022,FEBRERO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,31,"100,00","1,50"
2022,MARZO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,44,"100,00","0,80"
2022,MARZO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,41,"99,00","1,10"
2022,MARZO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,43,"100,00","1,20"
2022,MARZO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,2,"100,00","1,10"
2022,MARZO,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,2,"100,00","0,90"
2022,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,26,"98,50","0,80"
2022,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,26,"96,20","0,90"
2022,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,27,"100,00","1,10"
2022,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ,3,"100,00","1,10"
2022,ABRIL,REPUBLICA DOMINICANA,SANTIAGO,VILLA GONZALEZ II,3,"100,00","1,10"
2022,MAYO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,23,"100,00","0,70"
2022,MAYO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 10 MGD,24,"100,00","0,90"
2022,MAYO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA 25 MGD,24,"100,00","1,20"
2022,JUNIO,REPUBLICA DOMINICANA,SANTIAGO,PLANTA LA NORIEGA,25,"100,00","0,70"
